                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5933,                 1.8937,                 2.0905,                0.56677,                0.42629,                 0.4602,                0.25056,                 1.6328,                 1.9959,                  2.188,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.5949,                 1.9159,                 2.0987,                0.64724,                0.46478,                 0.5142,                 0.2869,                 1.5883,                  1.905,                 2.1195,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.6028,                 1.8724,                 2.0786,                0.57287,                0.43791,                0.48759,                0.27449,                 1.6117,                 1.9637,                 2.1352,               0.000614,               0.000614,               0.000614
                     38,                 1.5941,                 1.8863,                 2.0697,                0.59484,                0.38562,                0.43415,                0.23753,                 1.6688,                 2.0674,                 2.1908,              0.0005744,              0.0005744,              0.0005744
                     39,                  1.584,                 1.8812,                 2.0809,                0.71077,                0.46042,                0.53405,                0.30444,                 1.5662,                 1.8606,                 2.0983,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.5768,                 1.9123,                 2.0695,                0.57164,                 0.4626,                0.49226,                0.27996,                 1.5172,                 1.9215,                 2.0489,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.5131,                 1.9193,                 2.0599,                0.70409,                0.48076,                 0.5508,                0.31851,                 1.5428,                 1.7917,                 2.0911,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.4969,                 1.7647,                 2.0356,                0.74366,                0.48729,                 0.5756,                0.34512,                 1.5162,                 1.7471,                 2.0375,               0.000416,               0.000416,               0.000416
                     43,                 1.4829,                 1.7015,                 2.0109,                0.72594,                0.47858,                0.57005,                0.34691,                 1.4904,                 1.7281,                  1.995,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.4627,                 1.6981,                 2.0046,                0.69519,                0.52339,                0.58485,                0.36424,                 1.4352,                 1.6857,                 1.9561,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.4135,                 1.6528,                 1.9776,                0.70897,                 0.5236,                 0.5891,                0.36736,                 1.4469,                 1.7059,                 1.9556,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.4447,                 1.6514,                 1.9913,                0.75657,                0.52941,                0.60647,                0.36832,                 1.4728,                 1.6303,                  1.965,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.4136,                 1.6704,                 1.9485,                0.72513,                0.52651,                0.60043,                0.38264,                 1.4309,                 1.6518,                  1.928,               0.000218,               0.000218,               0.000218
                     48,                 1.4114,                 1.6064,                 1.9506,                0.76538,                0.52595,                0.61753,                0.39533,                 1.3922,                 1.5856,                 1.9147,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.4069,                  1.611,                 1.9451,                0.75335,                0.54394,                0.62027,                0.40061,                 1.3827,                 1.5872,                 1.8852,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.3834,                 1.5824,                 1.9379,                0.76298,                0.54236,                 0.6187,                0.40191,                 1.3713,                 1.5806,                 1.8745,               9.92e-05,               9.92e-05,               9.92e-05
